;CODE;NAME
3963;BM_ERV;Taxa de câmbio - R$ / US$ - comercial - venda - média
;;
3969;BM12_ERV12;Taxa de câmbio - R$ / US$ - comercial - venda - média
;;
4063;GM366_ERV366;Taxa de câmbio - R$ / US$ - comercial - venda - média
;;
